YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,DIV_AIRPORT_LANDINGS,DIV_REACHED_DEST,DIV_ACTUAL_ELAPSED_TIME,DIV_ARR_DELAY,DIV_DISTANCE,DIV1_AIRPORT,DIV1_AIRPORT_ID,DIV1_TOTAL_GTIME,DIV1_LONGEST_GTIME,DIV2_AIRPORT,DIV2_AIRPORT_ID,DIV2_TOTAL_GTIME,DIV2_LONGEST_GTIME
2017,2,4,1,6,4/1/2017,DL,1449,MEM,MSP,825,819,-6,0,1033,1024,-9,0,0,0,,0,128,125,98,700,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1450,LAS,MSP,45,41,-4,0,550,545,-5,0,0,0,,0,185,184,165,1299,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1451,BWI,MSP,1500,1458,-2,0,1652,1640,-12,0,0,0,,0,172,162,147,936,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1453,SEA,MSP,816,814,-2,0,1339,1334,-5,0,0,0,,0,203,200,171,1399,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1459,FLL,MSP,715,708,-7,0,1010,951,-19,0,0,0,,0,235,223,205,1487,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1468,MSP,LAX,1743,1739,-4,0,1944,1911,-33,0,0,0,,0,241,212,188,1535,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1469,MSP,HNL,1125,1115,-10,0,1510,1434,-36,0,0,0,,0,525,499,487,3972,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1470,MSP,OMA,2210,2218,8,0,2318,2323,5,5,0,0,,0,68,65,46,282,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1476,DTW,MSP,1335,1350,15,1,1429,1439,10,10,0,0,,0,114,109,93,528,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1479,LAS,MSP,910,909,-1,0,1425,1419,-6,0,0,0,,0,195,190,170,1299,,,,,,,,,0,,,,,,,,,,,,
